rule_text,rule_size,rule_repr,selected_n,event_n,event_rate,lift,mean_r,pf_r,cum_r,event_years,loo_mean_positive_rate,loo_event_ge50_rate,wilson_lower,eligible
RECLAIM_BREAKS_SWEEP_LOW,1,"('RECLAIM_BREAKS_SWEEP_LOW',)",8,4,0.5,0.125,-0.16109679400534188,0.742245129591453,-1.288774352042735,4,0.0,0.5,0.21521252682444186,False
RECLAIM_BREAKS_PRE_SWEEP_LOW,1,"('RECLAIM_BREAKS_PRE_SWEEP_LOW',)",3,1,0.3333333333333333,-0.041666666666666685,-0.48717948717948634,0.26923076923077055,-1.461538461538459,1,0.0,0.6666666666666666,0.0614903152761605,False
RECLAIM_BREAKS_LOCAL_3BAR_LOW,1,"('RECLAIM_BREAKS_LOCAL_3BAR_LOW',)",0,0,,,,,0.0,0,,,,False
RECLAIM_CLOSE_BELOW_APPROACH_START,1,"('RECLAIM_CLOSE_BELOW_APPROACH_START',)",7,2,0.2857142857142857,-0.0892857142857143,-0.6689471765286206,0.2195616273832759,-4.682630235700344,2,0.0,0.0,0.0822171657090155,False
RECLAIM_BODY_ENGULFS_SWEEP_BODY,1,"('RECLAIM_BODY_ENGULFS_SWEEP_BODY',)",11,5,0.45454545454545453,0.07954545454545453,-0.17921859888573455,0.71837077317956,-1.97140458774308,4,0.0,0.5454545454545454,0.21270957543988045,False
RECLAIM_RANGE_EXPANDS_VS_SWEEP,1,"('RECLAIM_RANGE_EXPANDS_VS_SWEEP',)",8,4,0.5,0.125,-0.16109679400534188,0.742245129591453,-1.288774352042735,4,0.0,0.5,0.21521252682444186,False
RECLAIM_RANGE_EXPANDS_VS_PRE_SWEEP,1,"('RECLAIM_RANGE_EXPANDS_VS_PRE_SWEEP',)",14,6,0.42857142857142855,0.05357142857142855,-0.35510032769593425,0.502859541225692,-4.97140458774308,4,0.0,0.0,0.21380509930400526,False
RECLAIM_INSIDE_DEPTH_EXCEEDS_SWEEP_OVERSHOOT,1,"('RECLAIM_INSIDE_DEPTH_EXCEEDS_SWEEP_OVERSHOOT',)",13,5,0.38461538461538464,0.009615384615384637,-0.48375187323405655,0.3711225647957265,-6.2887743520427355,4,0.0,0.0,0.17709446581236818,False
SWEEP_SAME_BAR_REJECTION,1,"('SWEEP_SAME_BAR_REJECTION',)",4,1,0.25,-0.125,-0.42065755892508616,0.4391232547665518,-1.6826302357003446,1,0.0,0.0,0.045586062644636216,False
APPROACH_3BAR_HIGHER_CLOSES,1,"('APPROACH_3BAR_HIGHER_CLOSES',)",6,2,0.3333333333333333,-0.041666666666666685,-0.7435897435897432,0.10769230769230823,-4.461538461538459,2,0.0,0.0,0.09676933255921683,False
APPROACH_3BAR_STAIRCASE,1,"('APPROACH_3BAR_STAIRCASE',)",7,4,0.5714285714285714,0.1964285714285714,-0.04125347886324789,0.9278064119893161,-0.28877435204273527,3,0.5714285714285714,1.0,0.2504542304090258,False
APPROACH_LAST_BAR_COMPRESSES_THEN_RECLAIM_EXPANDS,1,"('APPROACH_LAST_BAR_COMPRESSES_THEN_RECLAIM_EXPANDS',)",6,3,0.5,0.125,-0.16873882148164468,0.746891767777533,-1.0124329288898681,2,0.0,0.5,0.18761280689940868,False
PRE_FILL_5M_BEARISH_BREAK,1,"('PRE_FILL_5M_BEARISH_BREAK',)",1,0,0.0,-0.375,-1.0,0.0,-1.0,0,,,0.0,False
RECLAIM_BREAKS_SWEEP_LOW AND RECLAIM_BREAKS_PRE_SWEEP_LOW,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'RECLAIM_BREAKS_PRE_SWEEP_LOW')",2,1,0.5,0.125,-0.23076923076922945,0.5384615384615411,-0.4615384615384589,1,0.5,0.5,0.09452865480086614,False
RECLAIM_BREAKS_SWEEP_LOW AND RECLAIM_BREAKS_LOCAL_3BAR_LOW,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'RECLAIM_BREAKS_LOCAL_3BAR_LOW')",0,0,,,,,0.0,0,,,,False
RECLAIM_BREAKS_SWEEP_LOW AND RECLAIM_CLOSE_BELOW_APPROACH_START,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'RECLAIM_CLOSE_BELOW_APPROACH_START')",3,1,0.3333333333333333,-0.041666666666666685,-1.0,0.0,-3.0,1,0.0,0.6666666666666666,0.0614903152761605,False
RECLAIM_BREAKS_SWEEP_LOW AND RECLAIM_BODY_ENGULFS_SWEEP_BODY,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'RECLAIM_BODY_ENGULFS_SWEEP_BODY')",6,4,0.6666666666666666,0.29166666666666663,0.11853760799287745,1.2370752159857548,0.7112256479572647,4,0.6666666666666666,1.0,0.29998832134152864,False
RECLAIM_BREAKS_SWEEP_LOW AND RECLAIM_RANGE_EXPANDS_VS_SWEEP,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'RECLAIM_RANGE_EXPANDS_VS_SWEEP')",8,4,0.5,0.125,-0.16109679400534188,0.742245129591453,-1.288774352042735,4,0.0,0.5,0.21521252682444186,False
RECLAIM_BREAKS_SWEEP_LOW AND RECLAIM_RANGE_EXPANDS_VS_PRE_SWEEP,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'RECLAIM_RANGE_EXPANDS_VS_PRE_SWEEP')",8,4,0.5,0.125,-0.16109679400534188,0.742245129591453,-1.288774352042735,4,0.0,0.5,0.21521252682444186,False
RECLAIM_BREAKS_SWEEP_LOW AND RECLAIM_INSIDE_DEPTH_EXCEEDS_SWEEP_OVERSHOOT,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'RECLAIM_INSIDE_DEPTH_EXCEEDS_SWEEP_OVERSHOOT')",6,4,0.6666666666666666,0.29166666666666663,0.11853760799287745,1.2370752159857548,0.7112256479572647,4,0.6666666666666666,1.0,0.29998832134152864,False
RECLAIM_BREAKS_SWEEP_LOW AND SWEEP_SAME_BAR_REJECTION,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'SWEEP_SAME_BAR_REJECTION')",0,0,,,,,0.0,0,,,,False
RECLAIM_BREAKS_SWEEP_LOW AND APPROACH_3BAR_HIGHER_CLOSES,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'APPROACH_3BAR_HIGHER_CLOSES')",3,1,0.3333333333333333,-0.041666666666666685,-0.48717948717948634,0.26923076923077055,-1.461538461538459,1,0.0,0.6666666666666666,0.0614903152761605,False
RECLAIM_BREAKS_SWEEP_LOW AND APPROACH_3BAR_STAIRCASE,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'APPROACH_3BAR_STAIRCASE')",6,3,0.5,0.125,0.11853760799287745,1.2370752159857548,0.7112256479572647,3,0.6666666666666666,0.5,0.18761280689940868,False
RECLAIM_BREAKS_SWEEP_LOW AND APPROACH_LAST_BAR_COMPRESSES_THEN_RECLAIM_EXPANDS,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'APPROACH_LAST_BAR_COMPRESSES_THEN_RECLAIM_EXPANDS')",4,2,0.5,0.125,-0.33245067329738087,0.5567324356034922,-1.3298026931895235,2,0.0,0.5,0.15003570882017148,False
RECLAIM_BREAKS_SWEEP_LOW AND PRE_FILL_5M_BEARISH_BREAK,2,"('RECLAIM_BREAKS_SWEEP_LOW', 'PRE_FILL_5M_BEARISH_BREAK')",0,0,,,,,0.0,0,,,,False
RECLAIM_BREAKS_PRE_SWEEP_LOW AND RECLAIM_BREAKS_LOCAL_3BAR_LOW,2,"('RECLAIM_BREAKS_PRE_SWEEP_LOW', 'RECLAIM_BREAKS_LOCAL_3BAR_LOW')",0,0,,,,,0.0,0,,,,False
RECLAIM_BREAKS_PRE_SWEEP_LOW AND RECLAIM_CLOSE_BELOW_APPROACH_START,2,"('RECLAIM_BREAKS_PRE_SWEEP_LOW', 'RECLAIM_CLOSE_BELOW_APPROACH_START')",2,0,0.0,-0.375,-1.0,0.0,-2.0,0,0.0,0.0,0.0,False
RECLAIM_BREAKS_PRE_SWEEP_LOW AND RECLAIM_BODY_ENGULFS_SWEEP_BODY,2,"('RECLAIM_BREAKS_PRE_SWEEP_LOW', 'RECLAIM_BODY_ENGULFS_SWEEP_BODY')",3,1,0.3333333333333333,-0.041666666666666685,-0.48717948717948634,0.26923076923077055,-1.461538461538459,1,0.0,0.6666666666666666,0.0614903152761605,False
RECLAIM_BREAKS_PRE_SWEEP_LOW AND RECLAIM_RANGE_EXPANDS_VS_SWEEP,2,"('RECLAIM_BREAKS_PRE_SWEEP_LOW', 'RECLAIM_RANGE_EXPANDS_VS_SWEEP')",2,1,0.5,0.125,-0.23076923076922945,0.5384615384615411,-0.4615384615384589,1,0.5,0.5,0.09452865480086614,False
RECLAIM_BREAKS_PRE_SWEEP_LOW AND RECLAIM_RANGE_EXPANDS_VS_PRE_SWEEP,2,"('RECLAIM_BREAKS_PRE_SWEEP_LOW', 'RECLAIM_RANGE_EXPANDS_VS_PRE_SWEEP')",3,1,0.3333333333333333,-0.041666666666666685,-0.48717948717948634,0.26923076923077055,-1.461538461538459,1,0.0,0.6666666666666666,0.0614903152761605,False
RECLAIM_BREAKS_PRE_SWEEP_LOW AND RECLAIM_INSIDE_DEPTH_EXCEEDS_SWEEP_OVERSHOOT,2,"('RECLAIM_BREAKS_PRE_SWEEP_LOW', 'RECLAIM_INSIDE_DEPTH_EXCEEDS_SWEEP_OVERSHOOT')",3,1,0.3333333333333333,-0.041666666666666685,-0.48717948717948634,0.26923076923077055,-1.461538461538459,1,0.0,0.6666666666666666,0.0614903152761605,False
RECLAIM_BREAKS_PRE_SWEEP_LOW AND SWEEP_SAME_BAR_REJECTION,2,"('RECLAIM_BREAKS_PRE_SWEEP_LOW', 'SWEEP_SAME_BAR_REJECTION')",1,0,0.0,-0.375,-1.0,0.0,-1.0,0,,,0.0,False
RECLAIM_BREAKS_PRE_SWEEP_LOW AND APPROACH_3BAR_HIGHER_CLOSES,2,"('RECLAIM_BREAKS_PRE_SWEEP_LOW', 'APPROACH_3BAR_HIGHER_CLOSES')",2,1,0.5,0.125,-0.23076923076922945,0.5384615384615411,-0.4615384615384589,1,0.5,0.5,0.09452865480086614,False
RECLAIM_BREAKS_PRE_SWEEP_LOW AND APPROACH_3BAR_STAIRCASE,2,"('RECLAIM_BREAKS_PRE_SWEEP_LOW', 'APPROACH_3BAR_STAIRCASE')",1,1,1.0,0.625,0.5384615384615411,inf,0.5384615384615411,1,,,0.20654329147389294,False
